date_key,year,quarter,month_number,month_name,month_label,year_month
2024-01-01,2024,Q1,1,January,Jan 2024,2024-01
2024-02-01,2024,Q1,2,February,Feb 2024,2024-02
2024-03-01,2024,Q1,3,March,Mar 2024,2024-03
2024-04-01,2024,Q2,4,April,Apr 2024,2024-04
2024-05-01,2024,Q2,5,May,May 2024,2024-05
2024-06-01,2024,Q2,6,June,Jun 2024,2024-06
2024-07-01,2024,Q3,7,July,Jul 2024,2024-07
2024-08-01,2024,Q3,8,August,Aug 2024,2024-08
2024-09-01,2024,Q3,9,September,Sep 2024,2024-09
2024-10-01,2024,Q4,10,October,Oct 2024,2024-10
2024-11-01,2024,Q4,11,November,Nov 2024,2024-11
2024-12-01,2024,Q4,12,December,Dec 2024,2024-12
2025-01-01,2025,Q1,1,January,Jan 2025,2025-01
2025-02-01,2025,Q1,2,February,Feb 2025,2025-02
2025-03-01,2025,Q1,3,March,Mar 2025,2025-03
