date_key,zone_id,component_id,planned_budget,spent_budget,committed_budget,variance_amount,variance_percent
2024-01-01,Z01,C01,2594962,2062774,2105632,-532188,-20.5
2024-01-01,Z01,C02,1809254,1699339,1757455,-109915,-6.1
2024-01-01,Z01,C03,2623406,2402304,2505504,-221102,-8.4
2024-01-01,Z01,C04,1694234,1589609,1636309,-104625,-6.2
2024-01-01,Z02,C01,2535397,2344594,2416364,-190803,-7.5
2024-01-01,Z02,C02,1741673,1336793,1353670,-404880,-23.2
2024-01-01,Z02,C03,2786009,2277930,2378277,-508079,-18.2
2024-01-01,Z02,C04,1730511,1468541,1516631,-261970,-15.1
2024-01-01,Z03,C01,2445544,2347588,2449659,-97956,-4.0
2024-01-01,Z03,C02,1765402,1811732,1832246,46330,2.6
2024-01-01,Z03,C03,2613253,2617303,2672159,4050,0.2
2024-01-01,Z03,C04,1715877,1499410,1542246,-216467,-12.6
2024-01-01,Z04,C01,2504056,2152621,2176779,-351435,-14.0
2024-01-01,Z04,C02,1797639,1540219,1585735,-257420,-14.3
2024-01-01,Z04,C03,2716943,2535756,2620641,-181187,-6.7
2024-01-01,Z04,C04,1591687,1574128,1611545,-17559,-1.1
2024-01-01,Z05,C01,2619585,1987290,2061921,-632295,-24.1
2024-01-01,Z05,C02,1774729,1097860,1110044,-676869,-38.1
2024-01-01,Z05,C03,2613015,1883164,1974680,-729851,-27.9
2024-01-01,Z05,C04,1724686,1645068,1675122,-79618,-4.6
2024-01-01,Z06,C01,2570809,2216447,2274918,-354362,-13.8
2024-01-01,Z06,C02,1705256,1574685,1633402,-130571,-7.7
2024-01-01,Z06,C03,2724281,1912799,2001669,-811482,-29.8
2024-01-01,Z06,C04,1669704,1452675,1480204,-217029,-13.0
2024-02-01,Z01,C01,2559473,2547915,2655446,-11558,-0.5
2024-02-01,Z01,C02,1780074,1563117,1595966,-216957,-12.2
2024-02-01,Z01,C03,2834745,2291180,2348595,-543565,-19.2
2024-02-01,Z01,C04,1591412,1367483,1397685,-223929,-14.1
2024-02-01,Z02,C01,2536482,2183217,2277035,-353265,-13.9
2024-02-01,Z02,C02,1804111,1522157,1598230,-281954,-15.6
2024-02-01,Z02,C03,2821061,2387495,2491530,-433566,-15.4
2024-02-01,Z02,C04,1647182,1318670,1347600,-328512,-19.9
2024-02-01,Z03,C01,2428338,2074504,2135224,-353834,-14.6
2024-02-01,Z03,C02,1788154,1798179,1878125,10025,0.6
2024-02-01,Z03,C03,2668458,2438246,2526620,-230212,-8.6
2024-02-01,Z03,C04,1749610,1678625,1705478,-70985,-4.1
2024-02-01,Z04,C01,2600664,2206301,2249571,-394363,-15.2
2024-02-01,Z04,C02,1714883,1572330,1625791,-142553,-8.3
2024-02-01,Z04,C03,2773154,2158741,2207925,-614413,-22.2
2024-02-01,Z04,C04,1536681,1328127,1394399,-208554,-13.6
2024-02-01,Z05,C01,2468007,1480804,1549330,-987203,-40.0
2024-02-01,Z05,C02,1806063,1205934,1252149,-600129,-33.2
2024-02-01,Z05,C03,2749957,1898543,1979498,-851414,-31.0
2024-02-01,Z05,C04,1589959,1508798,1556152,-81161,-5.1
2024-02-01,Z06,C01,2605756,1769428,1812496,-836328,-32.1
2024-02-01,Z06,C02,1778694,1497052,1562648,-281642,-15.8
2024-02-01,Z06,C03,2820368,2194071,2241795,-626297,-22.2
2024-02-01,Z06,C04,1623412,1227081,1245632,-396331,-24.4
2024-03-01,Z01,C01,2467804,2191602,2293522,-276202,-11.2
2024-03-01,Z01,C02,1948230,1605635,1665346,-342595,-17.6
2024-03-01,Z01,C03,2687984,2354576,2399155,-333408,-12.4
2024-03-01,Z01,C04,1728440,1494928,1528240,-233512,-13.5
2024-03-01,Z02,C01,2606593,2329850,2407720,-276743,-10.6
2024-03-01,Z02,C02,1821572,1479576,1544749,-341996,-18.8
2024-03-01,Z02,C03,2723348,2533587,2617734,-189761,-7.0
2024-03-01,Z02,C04,1662700,1460125,1478886,-202575,-12.2
2024-03-01,Z03,C01,2633157,2449758,2540957,-183399,-7.0
2024-03-01,Z03,C02,1838893,1744175,1782432,-94718,-5.2
2024-03-01,Z03,C03,2614172,2466773,2589357,-147399,-5.6
2024-03-01,Z03,C04,1589828,1423086,1460609,-166742,-10.5
2024-03-01,Z04,C01,2549265,2594686,2635498,45421,1.8
2024-03-01,Z04,C02,1926071,1483224,1540516,-442847,-23.0
