date_key,zone_id,component_id,manager_id,planned_activities,completed_activities,target_beneficiaries,actual_beneficiaries,target_output_units,actual_output_units,reports_expected,reports_submitted,reports_submitted_on_time,open_issues,closed_issues,high_priority_alerts
2024-01-01,Z01,C01,M01,13,11,475,386,12,10,4,4,4,1,1,0
2024-01-01,Z01,C02,M01,10,8,182,153,199,165,4,4,4,1,1,0
2024-01-01,Z01,C03,M01,17,14,0,0,15,12,4,4,4,3,3,0
2024-01-01,Z01,C04,M01,10,8,174,148,152,123,4,4,4,1,1,0
2024-01-01,Z02,C01,M02,11,8,484,403,13,10,4,2,2,6,5,1
2024-01-01,Z02,C02,M02,9,5,220,110,200,105,4,2,2,5,4,2
2024-01-01,Z02,C03,M02,15,11,0,0,14,9,4,3,3,4,3,2
2024-01-01,Z02,C04,M02,9,6,168,118,150,87,4,4,2,6,4,3
2024-01-01,Z03,C01,M03,12,10,503,434,13,11,4,4,4,1,1,0
2024-01-01,Z03,C02,M03,9,7,205,165,201,164,4,4,4,3,3,0
2024-01-01,Z03,C03,M03,17,14,0,0,15,12,4,4,4,4,4,0
2024-01-01,Z03,C04,M03,11,9,177,153,152,129,4,4,4,1,1,0
2024-01-01,Z04,C01,M04,14,11,465,363,12,9,4,4,4,6,5,0
2024-01-01,Z04,C02,M04,10,8,213,163,201,162,4,4,3,3,3,0
2024-01-01,Z04,C03,M04,16,13,0,0,16,13,4,4,4,3,3,0
2024-01-01,Z04,C04,M04,11,9,162,131,149,117,4,4,4,3,3,0
2024-01-01,Z05,C01,M05,13,7,508,266,12,5,4,2,2,7,4,3
2024-01-01,Z05,C02,M05,9,5,199,108,200,129,4,2,2,3,2,4
2024-01-01,Z05,C03,M05,15,8,0,0,15,8,4,4,2,7,5,4
2024-01-01,Z05,C04,M05,12,7,143,95,150,78,4,3,2,5,3,3
2024-01-01,Z06,C01,M06,14,11,467,382,11,9,4,4,3,3,3,1
2024-01-01,Z06,C02,M06,7,5,194,152,201,156,4,3,3,6,5,0
2024-01-01,Z06,C03,M06,15,12,0,0,17,13,4,4,3,4,3,0
2024-01-01,Z06,C04,M06,12,10,156,132,152,126,4,3,3,1,1,0
2024-02-01,Z01,C01,M01,11,9,475,388,12,10,4,4,4,1,1,0
2024-02-01,Z01,C02,M01,9,8,209,184,202,185,4,4,4,1,1,0
2024-02-01,Z01,C03,M01,14,13,0,0,14,13,4,4,4,1,1,0
2024-02-01,Z01,C04,M01,12,10,133,113,150,121,4,4,4,2,2,0
2024-02-01,Z02,C01,M02,13,11,487,401,14,11,4,3,3,1,1,1
2024-02-01,Z02,C02,M02,9,7,183,154,200,157,4,2,2,4,3,1
2024-02-01,Z02,C03,M02,14,10,0,0,15,9,4,3,3,7,6,1
2024-02-01,Z02,C04,M02,11,7,146,90,150,96,4,3,2,6,5,2
2024-02-01,Z03,C01,M03,13,11,508,434,11,10,4,4,4,1,1,0
2024-02-01,Z03,C02,M03,7,6,214,189,201,179,4,4,3,1,1,0
2024-02-01,Z03,C03,M03,16,14,0,0,14,12,4,4,4,2,2,0
2024-02-01,Z03,C04,M03,10,9,146,129,149,135,4,4,4,2,2,0
2024-02-01,Z04,C01,M04,13,11,498,405,13,11,4,4,4,2,2,0
2024-02-01,Z04,C02,M04,7,6,185,162,202,168,4,4,4,1,1,0
2024-02-01,Z04,C03,M04,16,13,0,0,15,12,4,4,4,3,3,0
2024-02-01,Z04,C04,M04,9,7,137,115,150,123,4,4,4,1,1,0
2024-02-01,Z05,C01,M05,12,8,487,276,12,8,4,2,2,5,4,2
2024-02-01,Z05,C02,M05,9,5,229,106,202,131,4,3,2,4,3,2
2024-02-01,Z05,C03,M05,16,10,0,0,17,10,4,3,2,3,2,3
2024-02-01,Z05,C04,M05,9,6,160,117,152,123,4,3,3,4,3,1
2024-02-01,Z06,C01,M06,11,10,502,458,11,10,4,4,3,3,3,0
2024-02-01,Z06,C02,M06,9,8,181,174,200,186,4,4,4,2,2,0
2024-02-01,Z06,C03,M06,16,13,0,0,17,13,4,4,3,3,3,0
2024-02-01,Z06,C04,M06,9,7,163,145,150,120,4,4,3,3,3,0
2024-03-01,Z01,C01,M01,13,12,492,440,13,12,4,4,4,3,3,0
2024-03-01,Z01,C02,M01,8,7,192,163,200,182,4,4,4,3,3,0
2024-03-01,Z01,C03,M01,14,13,0,0,16,15,4,4,4,1,1,0
2024-03-01,Z01,C04,M01,11,10,159,142,152,133,4,4,4,3,3,0
2024-03-01,Z02,C01,M02,12,9,502,427,13,11,4,2,2,5,4,1
2024-03-01,Z02,C02,M02,8,5,189,134,202,134,4,2,2,7,5,2
2024-03-01,Z02,C03,M02,17,14,0,0,17,13,4,2,2,1,1,2
2024-03-01,Z02,C04,M02,12,9,133,121,150,122,4,3,3,6,5,2
2024-03-01,Z03,C01,M03,14,14,495,472,14,14,4,4,4,2,2,0
2024-03-01,Z03,C02,M03,9,8,228,207,202,188,4,4,4,2,2,0
2024-03-01,Z03,C03,M03,15,13,0,0,16,15,4,4,4,2,2,0
2024-03-01,Z03,C04,M03,10,9,144,134,152,141,4,4,3,2,2,0
2024-03-01,Z04,C01,M04,14,12,481,399,12,10,4,4,4,2,2,0
2024-03-01,Z04,C02,M04,7,6,228,202,202,174,4,4,4,2,2,0
2024-03-01,Z04,C03,M04,17,15,0,0,15,13,4,4,4,1,1,0
2024-03-01,Z04,C04,M04,12,11,151,130,150,128,4,4,4,1,1,0
2024-03-01,Z05,C01,M05,14,10,497,353,11,8,4,4,3,4,3,1
2024-03-01,Z05,C02,M05,10,6,200,139,201,127,4,4,2,5,4,2
2024-03-01,Z05,C03,M05,14,7,0,0,16,9,4,3,2,3,2,2
2024-03-01,Z05,C04,M05,10,5,142,79,150,66,4,3,2,4,2,3
2024-03-01,Z06,C01,M06,13,11,509,416,11,10,4,4,4,1,1,0
2024-03-01,Z06,C02,M06,9,8,216,172,202,154,4,4,4,3,3,0
2024-03-01,Z06,C03,M06,15,13,0,0,14,12,4,3,3,3,3,0
2024-03-01,Z06,C04,M06,12,10,172,142,151,139,4,3,3,2,2,0
2024-04-01,Z01,C01,M01,13,12,500,467,14,13,4,4,4,3,3,0
2024-04-01,Z01,C02,M01,9,8,219,203,202,182,4,4,4,2,2,0
2024-04-01,Z01,C03,M01,16,15,0,0,15,14,4,4,3,2,2,0
2024-04-01,Z01,C04,M01,12,11,166,156,152,143,4,4,4,1,1,0
2024-04-01,Z02,C01,M02,14,12,473,390,13,12,4,3,3,1,1,1
2024-04-01,Z02,C02,M02,8,6,226,155,200,160,4,4,3,3,3,1
2024-04-01,Z02,C03,M02,16,12,0,0,15,10,4,3,3,6,5,2
2024-04-01,Z02,C04,M02,11,8,152,112,152,103,4,2,2,4,3,3
2024-04-01,Z03,C01,M03,12,12,472,469,12,12,4,4,4,3,3,0
2024-04-01,Z03,C02,M03,9,8,186,177,201,187,4,4,4,2,2,0
2024-04-01,Z03,C03,M03,16,16,0,0,14,14,4,4,3,3,3,0
2024-04-01,Z03,C04,M03,12,11,136,135,149,139,4,4,4,2,2,0
2024-04-01,Z04,C01,M04,12,11,463,415,11,10,4,4,3,2,2,0
2024-04-01,Z04,C02,M04,7,6,189,167,200,179,4,4,3,1,1,0
2024-04-01,Z04,C03,M04,14,12,0,0,17,14,4,4,4,3,3,0
2024-04-01,Z04,C04,M04,12,11,158,142,152,134,4,4,4,3,3,0
2024-04-01,Z05,C01,M05,11,6,508,264,12,7,4,2,2,4,3,2
2024-04-01,Z05,C02,M05,7,5,206,143,202,130,4,2,2,4,3,3
2024-04-01,Z05,C03,M05,17,11,0,0,14,8,4,3,3,7,5,4
2024-04-01,Z05,C04,M05,10,6,157,93,150,87,4,3,2,4,3,3
2024-04-01,Z06,C01,M06,13,11,488,451,14,13,4,4,3,1,1,0
2024-04-01,Z06,C02,M06,7,6,207,182,199,166,4,3,3,3,3,0
2024-04-01,Z06,C03,M06,14,13,0,0,16,14,4,4,4,2,2,0
2024-04-01,Z06,C04,M06,11,9,141,117,152,122,4,3,3,2,2,0
2024-05-01,Z01,C01,M01,11,10,470,449,13,12,4,4,4,3,3,0
2024-05-01,Z01,C02,M01,7,7,209,206,199,195,4,4,4,3,3,0
2024-05-01,Z01,C03,M01,17,16,0,0,17,16,4,4,3,1,1,0
2024-05-01,Z01,C04,M01,12,11,170,158,152,142,4,4,4,1,1,0
2024-05-01,Z02,C01,M02,13,10,488,399,11,8,4,3,3,3,3,2
2024-05-01,Z02,C02,M02,7,5,194,175,202,150,4,2,2,5,4,2
2024-05-01,Z02,C03,M02,17,13,0,0,17,14,4,3,3,6,5,1
2024-05-01,Z02,C04,M02,10,9,134,112,151,135,4,3,3,3,3,2
2024-05-01,Z03,C01,M03,13,13,497,484,14,14,4,4,4,2,2,0
2024-05-01,Z03,C02,M03,9,9,215,208,201,191,4,4,4,3,3,0
2024-05-01,Z03,C03,M03,17,17,0,0,14,14,4,4,4,3,3,0
2024-05-01,Z03,C04,M03,12,11,154,145,150,140,4,4,4,3,3,0
2024-05-01,Z04,C01,M04,13,12,466,440,14,13,4,4,3,3,3,0
2024-05-01,Z04,C02,M04,8,8,184,181,202,193,4,4,4,3,3,0
2024-05-01,Z04,C03,M04,17,16,0,0,14,13,4,4,4,2,2,0
2024-05-01,Z04,C04,M04,11,10,170,151,149,130,4,4,4,1,1,0
2024-05-01,Z05,C01,M05,13,9,474,373,11,7,4,2,2,6,5,2
2024-05-01,Z05,C02,M05,7,4,200,95,199,120,4,3,3,4,3,4
2024-05-01,Z05,C03,M05,15,9,0,0,15,9,4,3,3,7,5,4
2024-05-01,Z05,C04,M05,10,7,161,115,152,101,4,3,2,6,5,3
2024-05-01,Z06,C01,M06,12,11,464,410,13,12,4,4,4,2,2,0
2024-05-01,Z06,C02,M06,8,7,204,178,202,170,4,4,3,2,2,0
2024-05-01,Z06,C03,M06,14,12,0,0,17,14,4,3,3,3,3,1
2024-05-01,Z06,C04,M06,11,9,179,144,150,116,4,4,3,3,3,0
2024-06-01,Z01,C01,M01,12,11,500,451,11,10,4,4,4,2,2,0
2024-06-01,Z01,C02,M01,7,6,217,200,201,188,4,4,4,3,3,0
2024-06-01,Z01,C03,M01,16,15,0,0,16,15,4,4,4,2,2,0
2024-06-01,Z01,C04,M01,11,11,177,170,151,150,4,4,3,1,1,0
2024-06-01,Z02,C01,M02,12,9,503,345,13,7,4,2,2,7,6,1
2024-06-01,Z02,C02,M02,10,8,203,149,202,143,4,3,3,3,3,2
2024-06-01,Z02,C03,M02,15,12,0,0,14,11,4,3,3,3,3,2
2024-06-01,Z02,C04,M02,9,7,149,122,152,127,4,3,3,2,2,2
2024-06-01,Z03,C01,M03,14,13,497,480,12,11,4,4,4,3,3,0
2024-06-01,Z03,C02,M03,10,9,197,190,202,192,4,4,4,1,1,0
2024-06-01,Z03,C03,M03,16,16,0,0,16,15,4,4,3,2,2,0
2024-06-01,Z03,C04,M03,12,11,135,135,150,141,4,4,3,1,1,0
2024-06-01,Z04,C01,M04,13,12,475,441,12,11,4,4,3,3,3,0
2024-06-01,Z04,C02,M04,8,7,201,187,200,184,4,4,4,1,1,0
2024-06-01,Z04,C03,M04,15,13,0,0,16,14,4,4,3,1,1,0
2024-06-01,Z04,C04,M04,9,8,152,138,151,135,4,4,3,1,1,0
2024-06-01,Z05,C01,M05,14,9,493,341,11,7,4,3,2,7,5,4
2024-06-01,Z05,C02,M05,7,5,226,175,201,117,4,2,2,6,5,2
2024-06-01,Z05,C03,M05,17,11,0,0,14,9,4,2,2,4,3,3
2024-06-01,Z05,C04,M05,11,7,154,109,152,94,4,4,3,7,5,4
2024-06-01,Z06,C01,M06,12,11,487,440,13,12,4,4,3,2,2,0
2024-06-01,Z06,C02,M06,10,9,200,183,200,182,4,4,4,1,1,0
2024-06-01,Z06,C03,M06,17,16,0,0,14,13,4,4,4,3,3,0
2024-06-01,Z06,C04,M06,11,11,172,172,149,139,4,4,4,3,3,0
2024-07-01,Z01,C01,M01,13,12,482,444,11,10,4,4,4,1,1,0
2024-07-01,Z01,C02,M01,7,6,202,183,201,177,4,4,4,1,1,0
2024-07-01,Z01,C03,M01,14,13,0,0,16,14,4,4,3,1,1,0
2024-07-01,Z01,C04,M01,11,10,152,141,149,134,4,4,4,1,1,0
2024-07-01,Z02,C01,M02,12,9,507,394,12,9,4,4,3,5,4,2
2024-07-01,Z02,C02,M02,9,7,229,200,199,151,4,3,3,3,3,2
